State,Affiliated College,Constituent / University College,PG Center / Off-Campus Center,Recognized Center,Grand Total
Andaman and Nicobar Islands,6,NA,1,NA,7
Andhra Pradesh,4710,78,40,74,4902
Arunachal Pradesh,18,1,NA,NA,19
Assam,479,7,22,10,518
Bihar,352,279,8,13,652
Chandigarh,27,NA,NA,1,28
Chhatisgarh,634,12,4,40,690
Dadra and Nagar Haveli,4,NA,NA,1,5
Daman and Diu,3,NA,NA,NA,3
Delhi,183,2,1,29,215
Goa,47,NA,2,11,60
Gujarat,1775,92,40,59,1966
Haryana,1036,29,2,5,1072
Himachal Pradesh,289,11,3,9,312
Jammu and Kashmir,205,11,11,9,236
Jharkhand,130,57,3,9,199
Karnataka,3044,97,54,186,3381
Kerala,918,44,24,63,1049
Lakshadweep,NA,NA,3,NA,3
Madhya Pradesh,1990,20,6,1015,3031
Maharashtra,4184,423,23,541,5171
Manipur,76,2,1,3,82
Meghalaya,59,2,2,2,65
Mizoram,27,2,NA,NA,29
Nagaland,52,NA,3,2,57
Odisha,1068,31,2,NA,1101
Puducherry,81,5,3,NA,89
Punjab,929,31,20,3,983
Rajasthan,2418,32,3,56,2509
Sikkim,10,6,NA,NA,16
Tamil Nadu,1917,107,27,12,2063
Tripura,35,5,NA,NA,40
Uttar Pradesh,4019,67,12,77,4175
Uttrakhand,334,13,3,18,368
West Bengal,817,42,34,33,926
Grand Total,31876,1508,357,2281,36022
